"SECTOR","STATE","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Mobile - On-Road non-Diesel Light Duty Vehicles","RI","Carbon Monoxide","CAP","54923.9070128","TON"
"Fires - Wildfires","AZ","Volatile Organic Compounds","CAP","54923.760234","TON"
"Waste Disposal","VA","Carbon Monoxide","CAP","54893.482047237","TON"
"Agriculture - Livestock Waste","GA","Ammonia","CAP","54752.5720197","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","Volatile Organic Compounds","CAP","54691.197207224","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","WI","Nitrogen Oxides","CAP","54625.83727193","TON"
"Mobile - Locomotives","TX","Nitrogen Oxides","CAP","54343.880062","TON"
"Fuel Comb - Electric Generation - Coal","MI","Nitrogen Oxides","CAP","54181.72","TON"
"Solvent - Consumer & Commercial Solvent Use","GA","Volatile Organic Compounds","CAP","54011.94730417","TON"
"Solvent - Consumer & Commercial Solvent Use","WA","Volatile Organic Compounds","CAP","53975.897849","TON"
"Agriculture - Crops & Livestock Dust","VA","PM10 Primary (Filt + Cond)","CAP","53793.02945","TON"
"Fires - Prescribed Fires","SC","Volatile Organic Compounds","CAP","53689.7854473","TON"
"Biogenics - Vegetation and Soil","KS","Nitrogen Oxides","CAP","53622.7486","TON"
"Mobile - Non-Road Equipment - Gasoline","PA","Volatile Organic Compounds","CAP","53578.560196526324149233459391428","TON"
"Fires - Prescribed Fires","ID","Volatile Organic Compounds","CAP","53442.121879","TON"
"Fires - Wildfires","CA","Ammonia","CAP","52959.775181","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","TX","Carbon Monoxide","CAP","52739.7199943","TON"
"Biogenics - Vegetation and Soil","OH","Carbon Monoxide","CAP","52709.344","TON"
"Fires - Prescribed Fires","AR","PM10 Primary (Filt + Cond)","CAP","52368.56248","TON"
"Solvent - Consumer & Commercial Solvent Use","MI","Volatile Organic Compounds","CAP","52307.920613184","TON"
"Industrial Processes - Mining","AZ","PM10 Primary (Filt + Cond)","CAP","52190.005720067719","TON"
"Waste Disposal","LA","Carbon Monoxide","CAP","52158.005234","TON"
"Agriculture - Livestock Waste","ID","Ammonia","CAP","51999.9615018248","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","AL","Nitrogen Oxides","CAP","51853.309172","TON"
"Mobile - Non-Road Equipment - Gasoline","OH","Volatile Organic Compounds","CAP","51744.74585773949505844814636178","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","KY","Nitrogen Oxides","CAP","51588.107870895","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","LA","Nitrogen Oxides","CAP","51313.2531807","TON"
"Industrial Processes - Oil & Gas Production","NM","Carbon Monoxide","CAP","50780.7135810128","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MN","Volatile Organic Compounds","CAP","50764.27178644","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","FL","Carbon Monoxide","CAP","50745.752489109","TON"
"Solvent - Consumer & Commercial Solvent Use","NC","Volatile Organic Compounds","CAP","50697.28121834","TON"
"Dust - Unpaved Road Dust","CO","PM10 Primary (Filt + Cond)","CAP","50692.0981","TON"
"Fuel Comb - Residential - Wood","MN","Volatile Organic Compounds","CAP","50563.425422","TON"
"Fuel Comb - Electric Generation - Coal","ND","Sulfur Dioxide","CAP","50555","TON"
"Agriculture - Crops & Livestock Dust","GA","PM10 Primary (Filt + Cond)","CAP","50545.225845","TON"
"Mobile - Non-Road Equipment - Gasoline","IL","Volatile Organic Compounds","CAP","50541.235343164066260653351875229","TON"
"Industrial Processes - Non-ferrous Metals","WA","Carbon Monoxide","CAP","50255.134","TON"
"Industrial Processes - Oil & Gas Production","MT","Volatile Organic Compounds","CAP","50169.78659082749","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","AZ","Nitrogen Oxides","CAP","49915.747473","TON"
"Mobile - Commercial Marine Vessels","FL","Nitrogen Oxides","CAP","49788.2829929586","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","NC","Nitrogen Oxides","CAP","49716.3187728","TON"
"Agriculture - Livestock Waste","IN","Ammonia","CAP","49594.2282068","TON"
"Agriculture - Fertilizer Application","NE","Ammonia","CAP","49503.96445","TON"
"Dust - Construction Dust","MD","PM10 Primary (Filt + Cond)","CAP","49487.72998","TON"
"Fires - Agricultural Field Burning","OK","Carbon Monoxide","CAP","49457.33393","TON"
"Dust - Unpaved Road Dust","AK","PM10 Primary (Filt + Cond)","CAP","49379.591","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","Nitrogen Oxides","CAP","49357.3913437","TON"
"Agriculture - Crops & Livestock Dust","NY","PM10 Primary (Filt + Cond)","CAP","49276.820197845","TON"
"Fuel Comb - Residential - Wood","MN","PM10 Primary (Filt + Cond)","CAP","49166.290618","TON"
"Fuel Comb - Residential - Wood","MN","PM2.5 Primary (Filt + Cond)","CAP","49165.763014","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","KY","Nitrogen Oxides","CAP","48833.5998485","TON"
"Mobile - Non-Road Equipment - Gasoline","AK","Carbon Monoxide","CAP","48556.272754019697016441106463546","TON"
"Fires - Wildfires","NJ","Carbon Monoxide","CAP","48218.983956","TON"
"Fuel Comb - Electric Generation - Coal","NC","Sulfur Dioxide","CAP","48103.88","TON"
"Dust - Unpaved Road Dust","FL","PM2.5 Primary (Filt + Cond)","CAP","47994.10537","TON"
"Fuel Comb - Residential - Wood","VT","Carbon Monoxide","CAP","47992.62092","TON"
"Biogenics - Vegetation and Soil","IN","Carbon Monoxide","CAP","47752.731","TON"
"Industrial Processes - Non-ferrous Metals","SC","Carbon Monoxide","CAP","47681.8452039","TON"
"Industrial Processes - Chemical Manuf","OH","Carbon Monoxide","CAP","47546.603417","TON"
"Fuel Comb - Electric Generation - Coal","AL","Nitrogen Oxides","CAP","47519.242","TON"
"Fires - Prescribed Fires","OR","PM10 Primary (Filt + Cond)","CAP","47508.7026215","TON"
"Fuel Comb - Residential - Wood","MA","Carbon Monoxide","CAP","47305.28384","TON"
"Mobile - Non-Road Equipment - Gasoline","MT","Carbon Monoxide","CAP","47242.19829604965005756845787571","TON"
"Fires - Wildfires","AR","Carbon Monoxide","CAP","47210.138409","TON"
"Mobile - Non-Road Equipment - Other","TX","Carbon Monoxide","CAP","46771.476879789047118382098962","TON"
"Waste Disposal","MS","Carbon Monoxide","CAP","46652.1377583","TON"
"Solvent - Industrial Surface Coating & Solvent Use","CA","Volatile Organic Compounds","CAP","46272.3712824112364","TON"
"Fires - Prescribed Fires","WI","Carbon Monoxide","CAP","46174.435818","TON"
"Fuel Comb - Electric Generation - Coal","ND","Nitrogen Oxides","CAP","46121.1","TON"
"Dust - Unpaved Road Dust","NC","PM10 Primary (Filt + Cond)","CAP","46110.6944","TON"
"Mobile - Non-Road Equipment - Gasoline","HI","Carbon Monoxide","CAP","45888.832757707000005062716277086","TON"
"Industrial Processes - Oil & Gas Production","LA","Carbon Monoxide","CAP","45763.7947818977","TON"
"Biogenics - Vegetation and Soil","NE","Nitrogen Oxides","CAP","45713.412","TON"
"Dust - Unpaved Road Dust","TX","PM2.5 Primary (Filt + Cond)","CAP","45667.444596","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","OR","Nitrogen Oxides","CAP","45646.09740204","TON"
"Dust - Construction Dust","OH","PM10 Primary (Filt + Cond)","CAP","45645.5796115","TON"
"Agriculture - Livestock Waste","OH","Ammonia","CAP","45638.0937556","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","AZ","Volatile Organic Compounds","CAP","45576.77186982","TON"
"Biogenics - Vegetation and Soil","MT","Nitrogen Oxides","CAP","45558.3009","TON"
"Agriculture - Livestock Waste","IL","Ammonia","CAP","45356.5452671","TON"
"Fuel Comb - Electric Generation - Coal","IL","Nitrogen Oxides","CAP","45106.06707","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","AL","Carbon Monoxide","CAP","44868.3002","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","OK","Carbon Monoxide","CAP","44808.717","TON"
"Fires - Prescribed Fires","KS","Volatile Organic Compounds","CAP","44800.180814","TON"
"Fuel Comb - Electric Generation - Coal","UT","Nitrogen Oxides","CAP","44795.8","TON"
"Fires - Prescribed Fires","UT","Carbon Monoxide","CAP","44622.776766","TON"
"Fuel Comb - Residential - Wood","CA","Carbon Monoxide","CAP","44607.44556935","TON"
"Fuel Comb - Electric Generation - Coal","FL","Nitrogen Oxides","CAP","44607.2088","TON"
"Agriculture - Livestock Waste","CA","Volatile Organic Compounds","CAP","44503.06840922","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","WI","Volatile Organic Compounds","CAP","44391.19470005","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","TX","Carbon Monoxide","CAP","44387.9201547","TON"
"Fires - Prescribed Fires","AR","PM2.5 Primary (Filt + Cond)","CAP","44380.131619","TON"
"Mobile - Commercial Marine Vessels","LA","Nitrogen Oxides","CAP","44367.1122761029","TON"
"Dust - Unpaved Road Dust","WA","PM10 Primary (Filt + Cond)","CAP","44357.0457","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","WI","Nitrogen Oxides","CAP","44232.9372478","TON"
"Mobile - Locomotives","CA","Nitrogen Oxides","CAP","44107.560209","TON"
"Mobile - Non-Road Equipment - Gasoline","NC","Volatile Organic Compounds","CAP","43909.68689262347104759472700365","TON"
"Waste Disposal","MO","Carbon Monoxide","CAP","43897.580285769","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VT","Carbon Monoxide","CAP","43851.67498433","TON"
"Agriculture - Crops & Livestock Dust","AL","PM10 Primary (Filt + Cond)","CAP","43807.6483","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","OK","Nitrogen Oxides","CAP","43660.94820172","TON"
"Agriculture - Crops & Livestock Dust","WY","PM10 Primary (Filt + Cond)","CAP","43598.3224","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","LA","Nitrogen Oxides","CAP","43506.690601","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","NM","Nitrogen Oxides","CAP","43216.3348154","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MS","Nitrogen Oxides","CAP","43203.28868182","TON"
"Waste Disposal","MI","Carbon Monoxide","CAP","43023.244114","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","CO","Volatile Organic Compounds","CAP","43020.6225785072","TON"
"Dust - Construction Dust","PA","PM10 Primary (Filt + Cond)","CAP","42640.894352","TON"
"Mobile - Non-Road Equipment - Gasoline","ND","Carbon Monoxide","CAP","42618.29012142073003260629254383","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","OK","Nitrogen Oxides","CAP","42611.2554036","TON"
"Dust - Construction Dust","CO","PM10 Primary (Filt + Cond)","CAP","42342.8709748","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","WA","Nitrogen Oxides","CAP","41984.365747","TON"
"Mobile - Non-Road Equipment - Gasoline","GA","Volatile Organic Compounds","CAP","41854.496806470628846012789530168","TON"
"Agriculture - Crops & Livestock Dust","IA","PM2.5 Primary (Filt + Cond)","CAP","41830.9927","TON"
"Fuel Comb - Residential - Wood","OR","Carbon Monoxide","CAP","41674.546336042911","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","UT","Nitrogen Oxides","CAP","41596.3900622","TON"
"Fuel Comb - Electric Generation - Coal","WY","Nitrogen Oxides","CAP","41543.72","TON"
"Fires - Wildfires","ID","PM10 Primary (Filt + Cond)","CAP","41457.08894","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","AR","Nitrogen Oxides","CAP","41456.8044616","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","PA","Carbon Monoxide","CAP","41189.72766575","TON"
"Mobile - Non-Road Equipment - Diesel","CA","Carbon Monoxide","CAP","41153.0575956648","TON"
"Mobile - Non-Road Equipment - Gasoline","SD","Carbon Monoxide","CAP","41043.28458447912005397727279949","TON"
"Fuel Comb - Residential - Wood","IA","Carbon Monoxide","CAP","40928.340821","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","IL","Carbon Monoxide","CAP","40844.740886594","TON"
"Fires - Prescribed Fires","NJ","Carbon Monoxide","CAP","40702.691839","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","LA","Nitrogen Oxides","CAP","40571.73618082","TON"
"Fuel Comb - Electric Generation - Coal","IN","PM10 Primary (Filt + Cond)","CAP","40549.479309","TON"
"Mobile - Non-Road Equipment - Diesel","OH","Nitrogen Oxides","CAP","40528.7508409790000017937379589","TON"
"Dust - Unpaved Road Dust","WV","PM10 Primary (Filt + Cond)","CAP","40484.944","TON"
"Fires - Prescribed Fires","OR","PM2.5 Primary (Filt + Cond)","CAP","40261.6158619","TON"
"Agriculture - Livestock Waste","AL","Ammonia","CAP","40208.2503864","TON"
"Gas Stations","TX","Volatile Organic Compounds","CAP","40138.5278852553","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","TX","Carbon Monoxide","CAP","40026.798497355","TON"
"Dust - Paved Road Dust","NY","PM10 Primary (Filt + Cond)","CAP","39999.4337","TON"
"Mobile - Non-Road Equipment - Gasoline","DE","Carbon Monoxide","CAP","39943.96895867","TON"
"Fuel Comb - Residential - Wood","VA","Carbon Monoxide","CAP","39930.063133","TON"
"Agriculture - Crops & Livestock Dust","OK","PM2.5 Primary (Filt + Cond)","CAP","39845.051","TON"
"Waste Disposal","MA","Carbon Monoxide","CAP","39730.6735693","TON"
"Fuel Comb - Electric Generation - Coal","WI","Sulfur Dioxide","CAP","39713.0264845","TON"
"Mobile - Aircraft","CA","Carbon Monoxide","CAP","39634.4747676381294","TON"
"Fires - Prescribed Fires","WA","Volatile Organic Compounds","CAP","39302.94912174","TON"
"Fuel Comb - Electric Generation - Coal","CO","Nitrogen Oxides","CAP","39210.71","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","AL","PM10 Primary (Filt + Cond)","CAP","38971.955718","TON"
"Mobile - Commercial Marine Vessels","AK","Nitrogen Oxides","CAP","38937.733341127","TON"
"Dust - Unpaved Road Dust","HI","PM10 Primary (Filt + Cond)","CAP","38870.8419","TON"
"Agriculture - Livestock Waste","MS","Ammonia","CAP","38809.000832","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","KY","Volatile Organic Compounds","CAP","38729.473131441","TON"
"Solvent - Consumer & Commercial Solvent Use","VA","Volatile Organic Compounds","CAP","38660.7761069","TON"
"Fuel Comb - Residential - Wood","ME","Carbon Monoxide","CAP","38589.9597","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MI","Nitrogen Oxides","CAP","38521.7172754","TON"
"Fires - Prescribed Fires","NM","Carbon Monoxide","CAP","38474.179461","TON"
"Agriculture - Crops & Livestock Dust","MN","PM2.5 Primary (Filt + Cond)","CAP","38411.976089","TON"
"Fuel Comb - Electric Generation - Coal","NC","Nitrogen Oxides","CAP","38404.93","TON"
"Mobile - Non-Road Equipment - Diesel","MN","Nitrogen Oxides","CAP","38349.45937274831000093901709137","TON"
"Fuel Comb - Residential - Wood","NC","Carbon Monoxide","CAP","38318.7881693","TON"
"Industrial Processes - Storage and Transfer","TX","Volatile Organic Compounds","CAP","38315.6742161","TON"
"Agriculture - Livestock Waste","CO","Ammonia","CAP","38308.5079452","TON"
"Fires - Agricultural Field Burning","GA","Carbon Monoxide","CAP","38165.389138","TON"
"Dust - Paved Road Dust","FL","PM10 Primary (Filt + Cond)","CAP","38083.0817","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","OH","Sulfur Dioxide","CAP","38040.88775","TON"
"Agriculture - Crops & Livestock Dust","NE","PM2.5 Primary (Filt + Cond)","CAP","37956.9581","TON"
"Dust - Construction Dust","AZ","PM10 Primary (Filt + Cond)","CAP","37891.190579","TON"
"Biogenics - Vegetation and Soil","OK","Nitrogen Oxides","CAP","37854.144","TON"
"Solvent - Graphic Arts","PA","Volatile Organic Compounds","CAP","37746.4893","TON"
"Industrial Processes - Oil & Gas Production","NM","Nitrogen Oxides","CAP","37724.1680216999","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MD","Nitrogen Oxides","CAP","37676.3872605","TON"
"Agriculture - Livestock Waste","AR","Ammonia","CAP","37622.9801324","TON"
"Mobile - Non-Road Equipment - Diesel","IA","Nitrogen Oxides","CAP","37610.2464136504000024969109206","TON"
"Solvent - Consumer & Commercial Solvent Use","MO","Volatile Organic Compounds","CAP","37604.882953","TON"
"Fuel Comb - Electric Generation - Coal","IN","PM2.5 Primary (Filt + Cond)","CAP","37578.7276407","TON"
"Mobile - Locomotives","IL","Nitrogen Oxides","CAP","37487.7571354","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","WI","Sulfur Dioxide","CAP","37476.401445","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","SC","Volatile Organic Compounds","CAP","37354.85658696","TON"
"Fuel Comb - Electric Generation - Coal","LA","Carbon Monoxide","CAP","37239.23","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","FL","Carbon Monoxide","CAP","37140.7538513","TON"
"Biogenics - Vegetation and Soil","SD","Nitrogen Oxides","CAP","37115.768","TON"
"Fires - Wildfires","OK","Volatile Organic Compounds","CAP","37102.931952","TON"
"Industrial Processes - Oil & Gas Production","WV","Carbon Monoxide","CAP","36955.353667101","TON"
"Fuel Comb - Electric Generation - Coal","WY","Sulfur Dioxide","CAP","36925.68","TON"
"Mobile - Non-Road Equipment - Gasoline","RI","Carbon Monoxide","CAP","36787.3778390000000002401692861","TON"
"Mobile - Non-Road Equipment - Diesel","NY","Nitrogen Oxides","CAP","36690.21316813151910089170728848","TON"
"Agriculture - Crops & Livestock Dust","MO","PM2.5 Primary (Filt + Cond)","CAP","36666.072106","TON"
"Solvent - Consumer & Commercial Solvent Use","AZ","Volatile Organic Compounds","CAP","36589.922643","TON"
"Solvent - Graphic Arts","NY","Volatile Organic Compounds","CAP","36588.41412","TON"
"Fires - Prescribed Fires","SD","Volatile Organic Compounds","CAP","36586.189853","TON"
"Fires - Agricultural Field Burning","TX","Carbon Monoxide","CAP","36174.3851832","TON"
"Solvent - Consumer & Commercial Solvent Use","TN","Volatile Organic Compounds","CAP","36141.565152","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","KS","Nitrogen Oxides","CAP","36090.731619518","TON"
"Biogenics - Vegetation and Soil","WV","Carbon Monoxide","CAP","36037.948","TON"
"Waste Disposal","OR","Carbon Monoxide","CAP","35823.4425006","TON"
"Solvent - Consumer & Commercial Solvent Use","IN","Volatile Organic Compounds","CAP","35795.8785104","TON"
"Industrial Processes - Oil & Gas Production","ND","Nitrogen Oxides","CAP","35794.8852636346","TON"
"Waste Disposal","AZ","Carbon Monoxide","CAP","35750.8525382","TON"
"Waste Disposal","WI","Carbon Monoxide","CAP","35687.5321857","TON"
"Dust - Construction Dust","MO","PM10 Primary (Filt + Cond)","CAP","35576.6910219","TON"
"Fires - Wildfires","MS","Carbon Monoxide","CAP","35502.999585","TON"
"Mobile - Non-Road Equipment - Diesel","FL","Carbon Monoxide","CAP","35355.6836619978950007146871065","TON"
"Dust - Unpaved Road Dust","NM","PM2.5 Primary (Filt + Cond)","CAP","35225.5664","TON"
"Industrial Processes - Oil & Gas Production","CO","Nitrogen Oxides","CAP","35223.93268913555","TON"
"Fires - Wildfires","ID","PM2.5 Primary (Filt + Cond)","CAP","35133.128747","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","AR","Nitrogen Oxides","CAP","35080.860985724","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","IA","Nitrogen Oxides","CAP","35079.81899134","TON"
"Fires - Wildfires","NC","Carbon Monoxide","CAP","34927.114912","TON"
"Fuel Comb - Electric Generation - Coal","GA","Nitrogen Oxides","CAP","34873.689","TON"
"Fuel Comb - Residential - Wood","NJ","Carbon Monoxide","CAP","34832.760918","TON"
"Waste Disposal","KY","Carbon Monoxide","CAP","34770.82112355","TON"
"Biogenics - Vegetation and Soil","IL","Nitrogen Oxides","CAP","34770.0898","TON"
"Fuel Comb - Residential - Wood","TX","Carbon Monoxide","CAP","34731.40039895","TON"
"Fires - Agricultural Field Burning","FL","Ammonia","CAP","34684.0732275","TON"
"Mobile - Non-Road Equipment - Gasoline","VT","Carbon Monoxide","CAP","34606.498432122940000785664001","TON"
"Dust - Unpaved Road Dust","NY","PM10 Primary (Filt + Cond)","CAP","34539.463339","TON"
"Agriculture - Crops & Livestock Dust","MT","PM2.5 Primary (Filt + Cond)","CAP","34507.695455","TON"
"Industrial Processes - Oil & Gas Production","LA","Nitrogen Oxides","CAP","34443.13555902322","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","OR","Volatile Organic Compounds","CAP","34413.757550942","TON"
"Industrial Processes - Oil & Gas Production","TX","Sulfur Dioxide","CAP","34350.5848442137203176","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","AK","Nitrogen Oxides","CAP","34301.55","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NJ","Nitrogen Oxides","CAP","34195.48837","TON"
"Biogenics - Vegetation and Soil","IA","Nitrogen Oxides","CAP","34153.897","TON"
"Fires - Wildfires","AK","Ammonia","CAP","34139.439421","TON"
"Industrial Processes - Non-ferrous Metals","MO","Carbon Monoxide","CAP","34089.5706","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","KS","Nitrogen Oxides","CAP","34061.88904255","TON"
"Fuel Comb - Electric Generation - Coal","NV","Carbon Monoxide","CAP","33889.9966","TON"
"Solvent - Graphic Arts","CA","Volatile Organic Compounds","CAP","33786.570266696","TON"
"Dust - Construction Dust","NY","PM10 Primary (Filt + Cond)","CAP","33785.401328","TON"
"Mobile - Non-Road Equipment - Gasoline","WA","Volatile Organic Compounds","CAP","33738.828086136313118650650417642","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","AL","PM2.5 Primary (Filt + Cond)","CAP","33737.323218","TON"
"Agriculture - Crops & Livestock Dust","WI","PM2.5 Primary (Filt + Cond)","CAP","33721.093081","TON"
"Mobile - Non-Road Equipment - Gasoline","LA","Volatile Organic Compounds","CAP","33687.381907924428357089187016908","TON"
"Agriculture - Livestock Waste","PA","Ammonia","CAP","33686.9931252","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","NJ","Nitrogen Oxides","CAP","33676.315108","TON"
"Solvent - Consumer & Commercial Solvent Use","WI","Volatile Organic Compounds","CAP","33668.9919761961","TON"
"Fires - Wildfires","CA","Nitrogen Oxides","CAP","33565.128621","TON"
"Biogenics - Vegetation and Soil","CA","Nitrogen Oxides","CAP","33558.1561","TON"
"Industrial Processes - NEC","KY","Volatile Organic Compounds","CAP","33550.347062345","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","OK","Volatile Organic Compounds","CAP","33473.034232203","TON"
"Fuel Comb - Residential - Wood","CT","Carbon Monoxide","CAP","33443.55357","TON"
"Agriculture - Crops & Livestock Dust","UT","PM10 Primary (Filt + Cond)","CAP","33371.28745","TON"
"Dust - Unpaved Road Dust","PA","PM10 Primary (Filt + Cond)","CAP","33355.1265","TON"
"Waste Disposal","CA","Volatile Organic Compounds","CAP","33283.7037300433442","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","DC","Carbon Monoxide","CAP","33206.82162","TON"
"Fuel Comb - Residential - Wood","TN","Carbon Monoxide","CAP","33173.1213132","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","IL","Nitrogen Oxides","CAP","33136.734284","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MS","Nitrogen Oxides","CAP","33131.4586322","TON"
"Agriculture - Crops & Livestock Dust","OH","PM2.5 Primary (Filt + Cond)","CAP","32959.831423","TON"
"Fires - Prescribed Fires","TX","PM10 Primary (Filt + Cond)","CAP","32924.0149988","TON"
"Biogenics - Vegetation and Soil","MO","Nitrogen Oxides","CAP","32909.0244","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","IA","Nitrogen Oxides","CAP","32875.0727349","TON"
"Industrial Processes - Mining","TX","PM10 Primary (Filt + Cond)","CAP","32870.5568","TON"
"Dust - Construction Dust","TN","PM10 Primary (Filt + Cond)","CAP","32836.4708493","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","Volatile Organic Compounds","CAP","32505.7443129218671044569134276209","TON"
"Industrial Processes - Non-ferrous Metals","IN","Carbon Monoxide","CAP","32503.916885","TON"
"Solvent - Graphic Arts","OH","Volatile Organic Compounds","CAP","32488.80805","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","FL","Carbon Monoxide","CAP","32432.036571","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MD","Nitrogen Oxides","CAP","32423.301051","TON"
"Mobile - Aircraft","FL","Carbon Monoxide","CAP","32177.0955373109","TON"
"Mobile - Non-Road Equipment - Gasoline","MO","Volatile Organic Compounds","CAP","32153.9022046888570729357059027085","TON"
"Industrial Processes - Oil & Gas Production","CO","Carbon Monoxide","CAP","32131.77152195","TON"
"Fuel Comb - Electric Generation - Coal","IA","Nitrogen Oxides","CAP","32100.112","TON"
"Mobile - Non-Road Equipment - Gasoline","TN","Volatile Organic Compounds","CAP","31931.909719190717060744483083194","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","KS","Nitrogen Oxides","CAP","31880.21520537","TON"
"Mobile - Non-Road Equipment - Diesel","IN","Nitrogen Oxides","CAP","31831.30387402960000225078017528","TON"
"Mobile - Non-Road Equipment - Diesel","MI","Nitrogen Oxides","CAP","31785.130930903450000818608818","TON"
"Dust - Unpaved Road Dust","OH","PM2.5 Primary (Filt + Cond)","CAP","31710.8898","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","CA","Carbon Monoxide","CAP","31627.4560925","TON"
"Fires - Prescribed Fires","OK","PM10 Primary (Filt + Cond)","CAP","31598.435037","TON"
"Fuel Comb - Electric Generation - Coal","KS","Sulfur Dioxide","CAP","31527.407","TON"
"Fires - Wildfires","LA","PM10 Primary (Filt + Cond)","CAP","31519.066565","TON"
"Fuel Comb - Residential - Wood","KY","Carbon Monoxide","CAP","31503.8820781","TON"
"Biogenics - Vegetation and Soil","CO","Nitrogen Oxides","CAP","31489.2694","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","IA","Volatile Organic Compounds","CAP","31433.08823289","TON"
"Solvent - Consumer & Commercial Solvent Use","MN","Volatile Organic Compounds","CAP","31231.7241514","TON"
"Fuel Comb - Electric Generation - Coal","AR","Nitrogen Oxides","CAP","30948","TON"
"Agriculture - Fertilizer Application","MN","Ammonia","CAP","30885.14874","TON"
"Mobile - Non-Road Equipment - Gasoline","AL","Volatile Organic Compounds","CAP","30687.480368252340044971377536346","TON"
"Fuel Comb - Electric Generation - Coal","MN","Sulfur Dioxide","CAP","30643.5915","TON"
"Dust - Unpaved Road Dust","NV","PM10 Primary (Filt + Cond)","CAP","30517.799","TON"
"Dust - Paved Road Dust","GA","PM10 Primary (Filt + Cond)","CAP","30473.7817","TON"
"Dust - Paved Road Dust","ID","PM10 Primary (Filt + Cond)","CAP","30465.4649","TON"
"Fires - Prescribed Fires","VA","Volatile Organic Compounds","CAP","30420.35589","TON"
"Fires - Prescribed Fires","GA","Volatile Organic Compounds","CAP","30356.489089926","TON"
"Biogenics - Vegetation and Soil","NM","Nitrogen Oxides","CAP","30210.0895","TON"
"Waste Disposal","IN","Carbon Monoxide","CAP","30195.875044","TON"
"Solvent - Consumer & Commercial Solvent Use","MA","Volatile Organic Compounds","CAP","30130.511812357","TON"
